Bread,Milk,Jam,Butter,
Butter,Bread,Apple,,
Cola,Beer,Chicken,,
Apple,Mango,Grape,Bread,Butter
Book,Pen,Cola,,
Bread,Milk,Mango,Book,
Bread,Butter,,,
Mango,,,,
Chicken,Bread,Beer,,
Apple,Butter,Bread,Milk,
Bread,Milk,Jam,Apple,
Bread,Milk,Jam,Mango,
Bread,Milk,Jam,Cola,
Milk,Bread,Jam,Cola,Butter
Jam,Cola,Bread,Milk,Mango
Butter,Cola,Jam,Bread,Grape
Chicken,Cola,,,
Chicken,Grape,,,
Chicken,Beer,,,
Chicken,Beer,Butter,Bread,
Book,Cola,Pen,,
Book,Cola,Grape,,
Book,Cola,Apple,,
Butter,Chicken,Bread,Beer,
Chicken,Book,Apple,Beer,Grape
Butter,Bread,Jam,,
Milk,Bread,,,
Chicken ,Grape,Mango,,
Apple,Grape,Cola,,
Butter,Bread,,,
Milk,Beer,Grape,Book,Pen
Chicken ,Beer,Butter,,
Cola,Grape,Pen,Apple,
Milk,Jam,,,
Cola,Jam,Book,,
Book ,Pen,Jam,,
Beer,Mango,Bread,,
Milk,Pen,Butter,,
Cola,Chicken,Bread,Apple,Beer
Jam ,Cola,Bread,,
Apple ,Chicken,Pen,,
Milk ,Beer,Mango,Grape,
Beer,Milk ,Grape,Cola,
Bread,Cola,,,
Jam ,Cola,Pen,,
Book ,Pen,,,
Jam ,Beer,Cola,,
Book ,Grape,Pen,,
Butter,Chicken,,,
Bread,Chicken,Jam,Milk,
